Time,Pressure,single,double,triple,move
2000/1/1,170,,,,
2000/1/2,191,170,,,289
2000/1/3,506,176.3,170,,541.6666667
2000/1/4,928,275.21,171.89,170,850
2000/1/5,1116,471.047,202.886,170.567,1472.333333
2000/1/6,2373,664.5329,283.3343,180.2627,2087
2000/1/7,2772,1177.07303,397.69388,211.18418,2771.666667
2000/1/8,3170,1655.551121,631.507625,267.13709,3153
2000/1/9,3517,2109.885785,938.7206738,376.4482505,3510
2000/1/10,3843,2532.020049,1290.070207,545.1299775,3971.333333
2000/1/11,4554,2925.314035,1662.65516,768.6120464,4427.666667
2000/1/12,4886,3413.919824,2041.452822,1036.82498,4930
2000/1/13,5350,3855.543877,2453.192923,1338.213333,5338
2000/1/14,5778,4303.880714,2873.898209,1672.70721,5058.666667
2000/1/15,4048,4746.1165,3302.89296,2033.06451,5399.333333
2000/1/16,6372,4536.68155,3735.860022,2414.013045,5662.333333
2000/1/17,6567,5087.277085,3976.10648,2810.567138,6576
2000/1/18,6789,5531.193959,4309.457662,3160.228941,6819.333333
2000/1/19,7102,5908.535772,4675.978551,3504.997557,7049
2000/1/20,7256,6266.57504,5045.745717,3856.291855,7257.666667
2000/1/21,7415,6563.402528,5411.994514,4213.128014,7384.666667
2000/1/22,7483,6818.88177,5757.416918,4572.787964,7553.666667
2000/1/23,7763,7018.117239,6075.856374,4928.17665,7743.333333
2000/1/24,7984,7241.582067,6358.534633,5272.480567,7267
2000/1/25,6054,7464.307447,6623.448863,5598.296787,7481.333333
2000/1/26,8406,7041.215213,6875.706438,5905.84241,7745.333333
2000/1/27,8776,7450.650649,6925.359071,6196.801619,8787.666667
2000/1/28,9181,7848.255454,7082.946544,6415.368854,9162.666667
2000/1/29,9531,8248.078818,7312.539217,6615.642161,9537
2000/1/30,9899,8632.955173,7593.201098,6824.711278,9970.666667
2000/1/31,10482,9012.768621,7905.12732,7055.258224,10389.66667
2000/2/1,10788,9453.538035,8237.41971,7310.218953,10832.33333
2000/2/2,11227,9853.876624,8602.255208,7588.37918,11254.66667
2000/2/3,11749,10265.81364,8977.741633,7892.541988,11260
2000/2/4,10804,10710.76955,9364.163234,8218.101882,11714.33333
2000/2/5,12590,10738.73868,9768.145127,8561.920287,12094.33333
2000/2/6,12889,11294.11708,10059.32319,8923.787739,12880.66667
2000/2/7,13163,11772.58195,10429.76136,9264.448376,13167.33333
2000/2/8,13450,12189.70737,10832.60754,9614.042271,13439.33333
2000/2/9,13705,12567.79516,11239.73749,9979.611851,13710.66667
2000/2/10,13977,12908.95661,11638.15479,10357.64954,14000.33333
2000/2/11,14319,13229.36963,12019.39533,10741.80112,14251
2000/2/12,14457,13556.25874,12382.38762,11125.07938,14511
2000/2/13,14757,13826.48112,12734.54896,11502.27185,14251
2000/2/14,13539,14105.63678,13062.12861,11871.95498,14413
2000/2/15,14943,13935.64575,13375.18106,12229.00707,14527
2000/2/16,15099,14237.85202,13543.32047,12572.85927,15074.33333
2000/2/17,15181,14496.19642,13751.67993,12863.99763,15315
2000/2/18,15665,14701.63749,13975.03488,13130.30232,15540.66667
2000/2/19,15776,14990.64624,14193.01566,13383.72209,15821.33333
2000/2/20,16023,15226.25237,14432.30484,13626.51016,15978.33333
2000/2/21,16136,15465.27666,14670.4891,13868.24856,16156.66667
2000/2/22,16311,15666.49366,14908.92537,14108.92072,16178.66667
2000/2/23,16089,15859.84556,15136.19585,14348.92212,15753
2000/2/24,14859,15928.59189,15353.29077,14585.10424,15634.66667
2000/2/25,15956,15607.71433,15525.88111,14815.5602,16248.33333
2000/2/26,17930,15712.20003,15550.43107,15028.65647,19273
2000/2/27,23933,16377.54002,15598.96176,15185.18885,22186
2000/2/28,24695,18644.17801,15832.53524,15309.32072,24693
2000/2/29,25451,20459.42461,16676.02807,15466.28508,25027
2000/3/1,24935,21956.89723,17811.04703,15829.20797,24784.66667
2000/3/2,23968,22850.32806,19054.80209,16423.75969,23833.66667
2000/3/3,22598,23185.62964,20193.45988,17213.07241,22545.66667
2000/3/4,21071,23009.34075,21091.11081,18107.18865,19982.33333
2000/3/5,16278,22427.83852,21666.57979,19002.3653,18704.33333
2000/3/6,18764,20582.88697,21894.95741,19801.62965,17694.33333
2000/3/7,18041,20037.22088,21501.33628,20429.62798,18274.66667
2000/3/8,18019,19438.35461,21062.10166,20751.14047,17971.66667
2000/3/9,17855,19012.54823,20574.97754,20844.42882,17901
2000/3/10,17829,18665.28376,20106.24875,20763.59344,17895
2000/3/11,18001,18414.39863,19673.95925,20566.39003,18049
2000/3/12,18317,18290.37904,19296.09107,20298.6608,18271
2000/3/13,18495,18298.36533,18994.37746,19997.88988,18553.33333
2000/3/14,18848,18357.35573,18785.57382,19696.83615,17698
