Time,Pressure,single,double,triple,move
2000/1/1,2868,,,,
2000/1/2,4622,2868,,,4052
2000/1/3,4666,3394.2,2868,,4750.666667
2000/1/4,4964,3775.74,3025.86,2868,4990
2000/1/5,5340,4132.218,3250.824,2915.358,5350
2000/1/6,5746,4494.5526,3515.2422,3015.9978,5776
2000/1/7,6242,4869.98682,3809.03532,3165.77112,6332
2000/1/8,7008,5281.590774,4127.32077,3358.75038,7064.333333
2000/1/9,7943,5799.513542,4473.601771,3589.321497,7485.666667
2000/1/10,7506,6442.559479,4871.375302,3854.605579,8397.666667
2000/1/11,9744,6761.591635,5342.730555,4159.636496,9318.333333
2000/1/12,10705,7656.314145,5768.388879,4514.564714,10630.66667
2000/1/13,11443,8570.919901,6334.766459,4890.711964,11403
2000/1/14,12061,9432.543931,7005.612492,5323.928312,12081.33333
2000/1/15,12740,10221.08075,7733.691924,5828.433566,12714.33333
2000/1/16,13342,10976.75653,8479.908572,6400.011073,13463
2000/1/17,14307,11686.32957,9228.962958,7023.980323,14230
2000/1/18,15041,12472.5307,9966.172941,7685.475114,15010
2000/1/19,15682,13243.07149,10718.08027,8369.684462,15314.33333
2000/1/20,15220,13974.75004,11475.57763,9074.203204,15757.33333
2000/1/21,16370,14348.32503,12225.32936,9794.615533,16106
2000/1/22,16728,14954.82752,12862.22806,10523.82968,16672
2000/1/23,16918,15486.77926,13490.0079,11225.34919,16938.66667
2000/1/24,17170,15916.14549,14089.03931,11904.7468,17124.66667
2000/1/25,17286,16292.30184,14637.17116,12560.03456,17284.33333
2000/1/26,17397,16590.41129,15133.71036,13183.17554,17364.33333
2000/1/27,17410,16832.3879,15570.72064,13768.33599,17438.33333
2000/1/28,17508,17005.67153,15949.22082,14309.05138,17521.66667
2000/1/29,17647,17156.37007,16266.15603,14801.10221,17272
2000/1/30,16661,17303.55905,16533.22024,15240.61836,17323.33333
2000/1/31,17662,17110.79134,16764.32189,15628.39892,17300.66667
2000/2/1,17579,17276.15393,16868.26272,15969.17581,17661.66667
2000/2/2,17744,17367.00775,16990.63008,16238.90189,17694.33333
2000/2/3,17760,17480.10543,17103.54339,16464.42035,17792
2000/2/4,17872,17564.0738,17216.512,16656.15726,17887.33333
2000/2/5,18030,17656.45166,17320.78054,16824.26368,17986.66667
2000/2/6,18058,17768.51616,17421.48188,16973.21874,18069
2000/2/7,18119,17855.36131,17525.59216,17107.69768,18074
2000/2/8,18045,17934.45292,17624.52291,17233.06602,17614.66667
2000/2/9,16680,17967.61704,17717.50191,17350.50309,17565.33333
2000/2/10,17971,17581.33193,17792.53645,17460.60274,17514
2000/2/11,17891,17698.23235,17729.17509,17560.18285,17869
2000/2/12,17745,17756.06265,17719.89227,17610.88052,17666
2000/2/13,17362,17752.74385,17730.74338,17643.58405,17401
2000/2/14,17096,17635.5207,17737.34352,17669.73185,17052
2000/2/15,16698,17473.66449,17706.79668,17690.01535,16632.33333
2000/2/16,16103,17240.96514,17636.85702,17695.04975,16097
2000/2/17,15490,16899.5756,17518.08946,17677.59193,15406.66667
2000/2/18,14627,16476.70292,17332.5353,17629.74119,14125.66667
2000/2/19,12260,15921.79204,17075.78558,17540.57942,13540.66667
2000/2/20,13735,14823.25443,16729.58752,17401.14127,13221
2000/2/21,13668,14496.7781,16157.68759,17199.67515,13631.33333
2000/2/22,13491,14248.14467,15659.41475,16887.07888,13631
2000/2/23,13734,14021.00127,15236.03372,16518.77964,13625.66667
2000/2/24,13652,13934.90089,14871.52399,16133.95587,13808.33333
2000/2/25,14039,13850.03062,14590.53706,15755.2263,13896.33333
2000/2/26,13998,13906.72144,14368.38513,15405.81953,14010.66667
2000/2/27,13995,13934.105,14229.88602,15094.58921,13990.66667
2000/2/28,13979,13952.3735,14141.15172,14835.17825,13709.66667
2000/2/29,13155,13960.36145,14084.51825,14626.97029,13711
2000/3/1,13999,13718.75302,14047.27121,14464.23468,13633.33333
2000/3/2,13746,13802.82711,13948.71575,14339.14564,13883
2000/3/3,13904,13785.77898,13904.94916,14222.01667,13841
2000/3/4,13873,13821.24528,13869.19811,14126.89642,13848.66667
2000/3/5,13769,13836.7717,13854.81226,14049.58693,13813.66667
2000/3/6,13799,13816.44019,13849.40009,13991.15453,13782.33333
2000/3/7,13779,13811.20813,13839.51212,13948.6282,13806.66667
2000/3/8,13842,13801.54569,13831.02092,13915.89337,13801
2000/3/9,13782,13813.68199,13822.17835,13890.43164,13631
2000/3/10,13269,13804.17739,13819.62944,13869.95565,13537.66667
2000/3/11,13562,13643.62417,13814.99383,13854.85779,13721
2000/3/12,14332,13619.13692,13763.58293,13842.8986,15261.33333
2000/3/13,17890,13832.99584,13720.24913,13819.1039,16810
2000/3/14,18208,15050.09709,13754.07314,13789.44747,18149.66667
2000/3/15,18351,15997.46796,14142.88033,13778.83517,18060.66667
2000/3/16,17623,16703.52757,14699.25662,13888.04872,17596.66667
2000/3/17,16816,16979.3693,15300.53791,14131.41109,16779
2000/3/18,15898,16930.35851,15804.18732,14482.14913,15627.33333
2000/3/19,14168,16620.65096,16142.03868,14878.76059,13932.66667
2000/3/20,11732,15884.85567,16285.62236,15257.74402,13391.33333
2000/3/21,14274,14638.99897,16165.39236,15566.10752,13405
2000/3/22,14209,14529.49928,15707.47434,15745.89297,14074.66667
2000/3/23,13741,14433.3495,15354.08182,15734.36738,13862.66667
2000/3/24,13638,14225.64465,15077.86212,15620.28171,13435.33333
2000/3/25,12927,14049.35125,14822.19688,15457.55584,13189
2000/3/26,13002,13712.64588,14590.34319,15266.94815,13041.66667
2000/3/27,13196,13499.45211,14327.034,15063.96666,13119.33333
2000/3/28,13160,13408.41648,14078.75943,14842.88686,13174.33333
2000/3/29,13167,13333.89154,13877.65655,14613.64863,12620.33333
2000/3/30,11534,13283.82408,13714.52704,14392.85101,12622.33333
2000/3/31,13166,12758.87685,13585.31615,14189.35382,12586.66667
2000/4/1,13060,12881.0138,13337.38436,14008.14252,13092.33333
2000/4/2,13051,12934.70966,13200.47319,13806.91507,13011.33333
2000/4/3,12923,12969.59676,13120.74413,13624.98251,12950.66667
2000/4/4,12878,12955.61773,13075.39992,13473.711,12830.66667
2000/4/5,12691,12932.33241,13039.46526,13354.21767,12711.66667
2000/4/6,12566,12859.93269,13007.32541,13259.79195,12584
2000/4/7,12495,12771.75288,12963.10759,13184.05199,12468.66667
2000/4/8,12345,12688.72702,12905.70118,13117.76867,11950.66667
2000/4/9,11012,12585.60891,12840.60893,13054.14842,11816.66667
2000/4/10,12093,12113.52624,12764.10893,12990.08657,11703
2000/4/11,12004,12107.36837,12568.93412,12922.29328,12046
2000/4/12,12041,12076.35786,12430.46439,12816.28553,12018.33333
2000/4/13,12010,12065.7505,12324.23243,12700.53919,12021
2000/4/14,12012,12049.02535,12246.68785,12587.64716,11991.33333
2000/4/15,11952,12037.91774,12187.3891,12485.35937,11975
2000/4/16,11961,12012.14242,12142.54769,12395.96829,11977.66667
2000/4/17,12020,11996.7997,12103.42611,12319.94211,11968.66667
2000/4/18,11925,12003.75979,12071.43819,12254.98731,11597.66667
2000/4/19,10848,11980.13185,12051.13467,12199.92257,11541.33333
2000/4/20,11851,11640.4923,12029.83382,12155.2862,11459.66667
2000/4/21,11680,11703.64461,11913.03136,12117.65049,11723.66667
2000/4/22,11640,11696.55122,11850.21534,12056.26475,11644.66667
2000/4/23,11614,11679.58586,11804.1161,11994.44993,11616
2000/4/24,11594,11659.9101,11766.75703,11937.34978,11601
2000/4/25,11595,11640.13707,11734.70295,11886.17195,11577
2000/4/26,11542,11626.59595,11706.33319,11840.73125,11496.66667
2000/4/27,11353,11601.21716,11682.41202,11800.41183,11370.66667
2000/4/28,11217,11526.75202,11658.05356,11765.01189,10767
2000/4/29,9731,11433.82641,11618.6631,11732.92439,10511.66667
2000/4/30,10587,10922.97849,11563.21209,11698.646,10119
2000/5/1,10039,10822.18494,11371.14201,11658.01583,10054
2000/5/2,9536,10587.22946,11206.45489,11571.95368,9416
2000/5/3,8673,10271.86062,11020.68726,11462.30404,8808
2000/5/4,8215,9792.202435,10796.03927,11329.81901,8298
2000/5/5,8006,9319.041704,10494.88822,11169.68509,8060
2000/5/6,7959,8925.129193,10142.13426,10967.24603,8074.666667
2000/5/7,8259,8635.290435,9777.032743,10719.7125,8267.333333
2000/5/8,8584,8522.403305,9434.510051,10436.90857,8178.333333
2000/5/9,7692,8540.882313,9160.878027,10136.18902,8374
2000/5/10,8846,8286.217619,8974.879313,9843.595719,8420
2000/5/11,8722,8454.152333,8768.280805,9582.980797,9426.333333
2000/5/12,10711,8534.506633,8674.042263,9338.570799,10531.66667
2000/5/13,12162,9187.454643,8632.181574,9139.212238,11827.66667
2000/5/14,12610,10079.81825,8798.763495,8987.103039,12887.33333
2000/5/15,13890,10838.87278,9183.079922,8930.601176,13710
2000/5/16,14630,11754.21094,9679.817778,9006.3448,14377.33333
2000/5/17,14612,12616.94766,10302.13573,9208.386693,14630.33333
2000/5/18,14649,13215.46336,10996.57931,9536.511403,14295.33333
2000/5/19,13625,13645.52435,11662.24452,9974.531774,14384
2000/5/20,14878,13639.36705,12257.22847,10480.8456,14408.33333
2000/5/21,14722,14010.95693,12671.87004,11013.76046,14721.33333
2000/5/22,14564,14224.26985,13073.59611,11511.19334,14680.33333
2000/5/23,14755,14326.1889,13418.79823,11979.91417,14826.33333
2000/5/24,15160,14454.83223,13691.01543,12411.57939,15052.66667
2000/5/25,15243,14666.38256,13920.16047,12795.4102,15149.66667
2000/5/26,15046,14839.36779,14144.0271,13132.83528,14858
2000/5/27,14285,14901.35745,14352.62931,13436.19283,14688.33333
2000/5/28,14734,14716.45022,14517.24775,13711.12377,14563
2000/5/29,14670,14721.71515,14577.00849,13952.96096,14973
2000/5/30,15515,14706.20061,14620.42049,14140.17522,15293.66667
2000/5/31,15696,14948.84042,14646.15452,14284.2488,15757
2000/6/1,16060,15172.9883,14736.96029,14392.82052,16012.66667
2000/6/2,16282,15439.09181,14867.7687,14496.06245,16249
2000/6/3,16405,15691.96427,15039.16563,14607.57432,16366.66667
2000/6/4,16413,15905.87499,15235.00522,14737.05172,16379.33333
2000/6/5,16320,16058.01249,15436.26615,14886.43777,16351
2000/6/6,16320,16136.60874,15622.79005,15051.38628,16324.66667
2000/6/7,16334,16191.62612,15776.93566,15222.80741,15973
2000/6/8,15265,16234.33828,15901.3428,15389.04589,15869.33333
2000/6/9,16009,15943.5368,16001.24144,15542.73496,15615
2000/6/10,15571,15963.17576,15983.93005,15680.28691,15661
2000/6/11,15403,15845.52303,15977.70376,15771.37985,15387.33333
2000/6/12,15188,15712.76612,15938.04954,15833.27702,15151.66667
2000/6/13,14864,15555.33629,15870.46452,15864.70878,14828.66667
2000/6/14,14434,15347.9354,15775.92605,15866.4355,14497.66667
2000/6/15,14195,15073.75478,15647.52885,15839.28266,14208.66667
2000/6/16,13997,14810.12835,15475.39663,15781.75652,14032.66667
2000/6/17,13906,14566.18984,15275.81615,15689.84855,13448.33333
2000/6/18,12442,14368.13289,15062.92825,15565.63883,13314.66667
2000/6/19,13596,13790.29302,14854.48965,15414.82566,13110.66667
2000/6/20,13294,13732.00512,14535.23066,15246.72485,13391.66667
2000/6/21,13285,13600.60358,14294.263,15033.2766,13251.66667
2000/6/22,13176,13505.92251,14086.16517,14811.57252,13240.66667
2000/6/23,13261,13406.94575,13912.09237,14593.95031,13245
2000/6/24,13298,13363.16203,13760.54839,14389.39293,13378.33333
2000/6/25,13576,13343.61342,13641.33248,14200.73957,13487.66667
2000/6/26,13589,13413.32939,13552.01676,14032.91744,13639.66667
2000/6/27,13754,13466.03058,13510.41055,13888.64724,13474
2000/6/28,13079,13552.4214,13497.09656,13775.17623,13617.66667
2000/6/29,14020,13410.39498,13513.69401,13691.75233,13756.66667
2000/6/30,14171,13593.27649,13482.7043,13638.33483,14229
2000/7/1,14496,13766.59354,13515.87596,13591.64567,14394
2000/7/2,14515,13985.41548,13591.09123,13568.91476,14546.33333
2000/7/3,14628,14144.29084,13709.38851,13575.5677,14590.33333
2000/7/4,14628,14289.40358,13839.85921,13615.71394,14727.66667
2000/7/5,14927,14390.98251,13974.72252,13682.95752,14828
2000/7/6,14929,14551.78776,14099.60052,13770.48702,14977
2000/7/7,15075,14664.95143,14235.25669,13869.22107,14793
2000/7/8,14375,14787.966,14364.16511,13979.03176,14863
2000/7/9,15139,14664.0762,14491.30538,14094.57176,14901.66667
2000/7/10,15191,14806.55334,14543.13662,14213.59185,15203.66667
2000/7/11,15281,14921.88734,14622.16164,14312.45528,15186
2000/7/12,15086,15029.62114,14712.07935,14405.36719,15173.33333
2000/7/13,15153,15046.5348,14807.34189,14497.38084,15079.33333
2000/7/14,14999,15078.47436,14879.09976,14590.36915,15100
2000/7/15,15148,15054.63205,14938.91214,14676.98833,15321.33333
2000/7/16,15817,15082.64243,14973.62811,14755.56547,16172.33333
2000/7/17,17552,15302.9497,15006.33241,14820.98427,16727
2000/7/18,16812,15977.66479,15095.3176,14876.58871,17250
2000/7/19,17386,16227.96536,15360.02176,14942.20738,16886
2000/7/20,16460,16575.37575,15620.40484,15067.55169,16481
2000/7/21,15597,16540.76302,15906.89611,15233.40763,15588.33333
2000/7/22,14708,16257.63412,16097.05618,15435.45418,14374.66667
2000/7/23,12819,15792.74388,16145.22956,15633.93478,13128
2000/7/24,11857,14900.62072,16039.48386,15787.32321,12131.66667
2000/7/25,11719,13987.5345,15697.82492,15862.97141,11947.33333
2000/7/26,12266,13306.97415,15184.73779,15813.42746,11884.33333
2000/7/27,11668,12994.68191,14621.4087,15624.82056,11256
2000/7/28,9834,12596.67733,14133.39066,15323.797,10764
2000/7/29,10790,11767.87413,13672.37666,14966.6751,10324.33333
2000/7/30,10349,11474.51189,13101.0259,14578.38557,10564.66667
2000/7/31,10555,11136.85833,12613.0717,14135.17767,10538
2000/8/1,10710,10962.30083,12170.20769,13678.54588,10667.33333
2000/8/2,10737,10886.61058,11807.83563,13226.04442,10750
2000/8/3,10803,10841.72741,11531.46812,12800.58178,10774.33333
2000/8/4,10783,10830.10918,11324.5459,12419.84768,10789
2000/8/5,10781,10815.97643,11176.21489,12091.25715,10787.33333
2000/8/6,10798,10805.4835,11068.14335,11816.74447,10165
2000/8/7,8916,10803.23845,10989.34539,11592.16413,10112
2000/8/8,10622,10237.06692,10933.51331,11411.31851,10003.66667
2000/8/9,10473,10352.54684,10724.57939,11267.97695,10489.33333
2000/8/10,10373,10388.68279,10612.96963,11104.95768,10379
2000/8/11,10291,10383.97795,10545.68358,10957.36127,10290
2000/8/12,10206,10356.08457,10497.17189,10833.85796,10199.33333
