Time,Pressure,single,double,triple,move
2000/1/1,1054,,,,
2000/1/2,1500,1054,,,1682.333333
2000/1/3,2493,1187.8,1054,,2313.333333
2000/1/4,2947,1579.36,1094.14,1054,2789.333333
2000/1/5,2928,1989.652,1239.706,1066.042,2914.333333
2000/1/6,2868,2271.1564,1464.6898,1118.1412,2951.333333
2000/1/7,3058,2450.20948,1706.62978,1222.10578,3027
2000/1/8,3155,2632.546636,1929.70369,1367.46298,3231.333333
2000/1/9,3481,2789.282645,2140.556574,1536.135193,3289.333333
2000/1/10,3232,2996.797852,2335.174395,1717.461607,3634.333333
2000/1/11,4190,3067.358496,2533.661432,1902.775444,3945.666667
2000/1/12,4415,3404.150947,2693.770551,2092.04124,4424
2000/1/13,4667,3707.405663,2906.88467,2272.560034,4669.333333
2000/1/14,4926,3995.283964,3147.040968,2462.857425,4954
2000/1/15,5269,4274.498775,3401.513867,2668.112488,5330
2000/1/16,5795,4572.849142,3663.409339,2888.132901,5714.666667
2000/1/17,6080,4939.4944,3936.24128,3120.715833,6058.666667
2000/1/18,6301,5281.64608,4237.217216,3365.373467,6249
2000/1/19,6366,5587.452256,4550.545875,3626.926592,5996.666667
2000/1/20,5323,5821.016579,4861.617789,3904.012377,6041.333333
2000/1/21,6435,5671.611605,5149.437426,4191.294001,6123
2000/1/22,6611,5900.628124,5306.08968,4478.737028,6612.333333
2000/1/23,6791,6113.739687,5484.451213,4726.942824,6809
2000/1/24,7025,6316.917781,5673.237755,4954.195341,7059
2000/1/25,7361,6529.342446,5866.341763,5169.908065,7304
2000/1/26,7526,6778.839713,6065.241968,5378.838174,7616.333333
2000/1/27,7962,7002.987799,6279.321291,5584.759312,7873.333333
2000/1/28,8132,7290.691459,6496.421244,5793.127906,8118
2000/1/29,8260,7543.084021,6734.702308,6004.115907,7882
2000/1/30,7254,7758.158815,6977.216822,6223.291828,8098.333333
2000/1/31,8781,7606.91117,7211.49942,6449.469326,8362.333333
2000/2/1,9052,7959.137819,7330.122945,6678.078354,8975
2000/2/2,9092,8286.996474,7518.827407,6873.691731,9192
2000/2/3,9432,8528.497531,7749.278127,7067.232434,9389
2000/2/4,9643,8799.548272,7983.043949,7271.846142,9603
2000/2/5,9734,9052.58379,8227.995246,7485.205484,9766.666667
2000/2/6,9923,9257.008653,8475.371809,7708.042413,9915.333333
2000/2/7,10089,9456.806057,8709.862862,7938.241231,10102.33333
2000/2/8,10295,9646.46424,8933.945821,8169.727721,9857.333333
2000/2/9,9188,9841.024968,9147.701347,8398.993151,9985.333333
2000/2/10,10473,9645.117478,9355.698433,8623.60561,10106.66667
2000/2/11,10659,9893.482234,9442.524146,8843.233457,10705
2000/2/12,10983,10123.13756,9577.811573,9023.020664,10914.33333
2000/2/13,11101,10381.09629,9741.40937,9189.457936,11132
2000/2/14,11312,10597.06741,9933.315448,9355.043366,11363
2000/2/15,11676,10811.54718,10132.44104,9528.524991,11586
2000/2/16,11770,11070.88303,10336.17288,9709.699804,11845.33333
2000/2/17,12090,11280.61812,10556.58592,9897.641727,12087.33333
2000/2/18,12402,11523.43268,10773.79558,10095.32499,12027.33333
2000/2/19,11590,11787.00288,10998.68671,10298.86617,12294
2000/2/20,12890,11727.90202,11235.18156,10508.81233,12547.66667
2000/2/21,13163,12076.53141,11382.9977,10726.7231,13129
2000/2/22,13334,12402.47199,11591.05781,10923.60548,13398.66667
2000/2/23,13699,12681.93039,11834.48206,11123.84118,13652
2000/2/24,13923,12987.05127,12088.71656,11337.03345,13903
2000/2/25,14087,13267.83589,12358.21698,11562.53838,14121.66667
2000/2/26,14355,13513.58512,12631.10265,11801.24196,14294
2000/2/27,14440,13766.00959,12895.84739,12050.20017,14434
2000/2/28,14507,13968.20671,13156.89605,12303.89433,14255.33333
2000/2/29,13819,14129.8447,13400.28925,12559.79485,14358
2000/3/1,14748,14036.59129,13619.15588,12811.94317,14363.66667
2000/3/2,14524,14250.0139,13744.38651,13054.10698,14598.33333
2000/3/3,14523,14332.20973,13896.07472,13261.19084,14488
2000/3/4,14417,14389.44681,14026.91523,13451.65601,14413
2000/3/5,14299,14397.71277,14135.6747,13624.23377,14193
2000/3/6,13863,14368.09894,14214.28612,13777.66605,14012.66667
2000/3/7,13876,14216.56926,14260.42997,13908.65207,13855.33333
2000/3/8,13827,14114.39848,14247.27175,14014.18544,13858
2000/3/9,13871,14028.17894,14207.40977,14084.11133,13672
2000/3/10,13318,13981.02525,14153.64052,14121.10087,13717
2000/3/11,13962,13782.11768,14101.85594,14130.86276,13834.33333
2000/3/12,14223,13836.08237,14005.93446,14122.16072,14138.66667
2000/3/13,14231,13952.15766,13954.97884,14087.29284,14250
2000/3/14,14296,14035.81036,13954.13248,14047.59864,14283
2000/3/15,14322,14113.86725,13978.63585,14019.55879,14487.66667
2000/3/16,14845,14176.30708,14019.20527,14007.28191,15386.33333
