Time,Pressure
166,411
167,3105
168,4060
169,4858
170,5895
171,6506
172,6950
173,7454
174,7924
175,8131
176,7740
177,8731
178,9114
179,9529
180,9935
181,10236
182,10696
183,11106
184,11451
185,12018
186,11675
187,13267
188,13856
189,14433
190,14876
191,15471
192,16032
193,16399
194,16708
195,17091
196,16097
197,17546
198,17630
199,17770
200,17789
201,17802
202,17836
203,17899
204,18061
205,18073
206,17055
207,18305
208,18464
209,18674
210,19152
211,19505
212,19995
213,20136
214,20707
215,21090
216,20556
217,21636
218,21713
219,21934
220,22113
221,22275
222,22330
223,22496
224,22409
225,22356
226,21229
227,22089
228,21729
229,21176
230,20994
231,20651
232,20042
233,19593
234,19810
235,20128
236,19570
237,20926
238,21683
239,21837
240,21845
241,21871
242,21908
243,25260
244,27558
245,27997
246,27248
247,19676
248,27606
249,27884
250,27418
251,26456
252,25325
253,24020
254,22877
255,21610
256,18844
257,20265
258,20153
259,19807
260,19525
261,19268
262,19109
263,19367
264,19723
265,19934
266,18712
267,20376
268,20349
269,20334
270,20402
271,20346
272,20328
273,20444
274,20427
275,20478
276,18904
277,20511
278,20553
279,20548
280,19676
281,21013
282,21091
283,21296
284,21509
285,21456
286,19881
287,21361
288,21504
289,21536
290,21730
291,21834
292,22055
293,22337
294,22803
295,23057
296,21837
297,23824
298,24353
299,24942
300,25406
301,25427
302,25523
303,25290
304,24902
305,23701
306,20505
307,22453
308,22192
309,22298
310,23686
311,25677
312,26190
313,26062
314,19676
315,25061
316,23529
317,24241
318,23094
319,22406
320,21471
321,20296
322,19556
323,18579
324,17890
325,17082
326,15541
327,16891
328,17086
329,17144
330,17811
331,18189
332,18546
333,18794
334,18987
335,19152
336,18525
337,19349
338,19419
339,19333
340,19313
341,19330
342,19447
343,19602
344,19675
345,19784
346,19113
347,20184
348,20321
349,20600
350,20679
351,20763
352,20917
353,20936
354,21278
355,21252
356,20813
357,21785
358,22006
359,22009
360,19676
361,21545
362,20862
363,20201
364,19399
365,19697
366,19312
367,20038
368,20375
369,20388
370,20592
371,20771
372,20828
373,25568
374,26920
375,28044
376,26605
377,26751
378,26128
379,25667
380,24717
381,23815
382,22269
383,20651
384,19097
385,17627
386,15203
387,16558
388,16551
389,15788
390,16393
391,16758
392,17191
393,17434
394,17785
395,17973
396,16820
397,18294
398,18281
399,19676
400,18281
401,18281
402,18306
403,18299
404,18321
405,18355
406,16976
407,18409
408,18516
409,18643
410,18839
411,18980
412,19229
413,19453
414,19543
415,19761
416,18144
417,20219
418,20481
419,20757
420,21087
421,21547
422,21767
423,21686
424,22018
425,22212
426,20961
427,22504
428,22246
429,22062
430,21806
431,21545
432,20765
433,19039
434,18573
435,20270
436,24098
437,25574
438,26621
439,26719
440,26422
441,26735
442,26341
443,25371
444,19676
445,23097
446,20536
447,20317
448,18410
449,17440
450,16372
451,16300
452,16276
453,16721
454,17167
455,17338
456,16734
457,17558
458,17673
459,17730
460,17760
461,17748
462,17725
463,17757
464,17662
465,17708
466,17005
467,17556
468,19676
469,17488
470,17718
471,17840
472,18013
473,18363
474,18555
475,18840
476,18318
477,19441
478,19655
479,19887
480,20035
481,20191
482,20531
483,20791
484,20919
485,20844
486,19610
487,20530
488,20210
489,19722
490,19229
491,18844
492,18342
493,17628
494,17728
495,18164
496,17523
497,18913
498,19081
499,19174
500,22414
501,24529
502,24698
503,25097
504,25704
505,26619
506,25298
507,25511
508,24258
509,22819
510,21105
511,19669
512,18410
513,18137
514,18130
515,18185
516,17215
517,18725
518,18769
519,18904
520,19031
521,19190
522,19169
523,19676
524,19729
525,19908
526,18812
527,20083
528,20270
529,20516
530,20534
531,20706
532,20516
533,20470
534,20294
535,20630
536,19550
537,21032
538,21189
539,21160
540,21185
541,21332
542,21380
543,21158
544,20795
545,20582
546,18679
547,19787
548,19215
549,19094
550,18963
551,18622
552,18615
553,19086
554,19206
555,19181
556,18337
557,19440
558,22758
559,25405
560,25761
561,25975
562,26794
563,27300
564,26949
565,25935
566,23532
567,23270
568,22253
569,21164
570,19870
571,18866
572,18793
573,19038
574,19230
575,19612
576,18608
577,20180
578,20539
579,20769
580,19676
581,21193
582,21355
583,21506
584,21610
585,21489
586,20166
587,21531
588,21589
589,21740
590,21789
591,21878
592,22126
593,22224
594,22504
595,22608
596,21559
597,22828
598,23132
599,23213
600,23375
601,23326
602,23009
603,23019
604,22779
605,22774
606,21318
607,21962
608,21465
609,21034
610,20258
611,19687
612,19339
613,19406
614,19864
615,19932
616,19550
617,20386
618,24000
619,26423
620,27143
621,27420
622,28132
623,27202
624,26651
625,25467
626,22119
627,21709
628,19729
629,18274
630,17050
631,16881
632,17223
633,17271
634,17484
635,17781
636,16839
637,18413
638,18606
639,18883
640,19208
641,19472
642,19637
643,19652
644,19861
645,19879
646,18721
647,20013
648,20032
649,20119
650,20057
651,20013
652,20094
653,20216
654,20422
655,20676
656,19537
657,20730
658,19676
659,20958
660,20889
661,21127
662,21031
663,21072
664,21209
665,21208
666,19908
667,21086
668,21028
669,20752
670,20587
671,20136
672,19684
673,19293
674,18355
675,18236
676,15877
677,17429
678,17424
679,17620
680,19632
681,22466
682,23666
683,24805
684,25295
685,26298
686,24182
687,24152
688,22634
689,21690
690,20821
691,19582
692,18688
693,17595
694,16865
695,15799
696,14975
697,16003
698,16403
699,16680
700,16914
701,17197
702,17444
703,17636
704,17812
705,17976
706,16881
707,18154
708,18368
709,19676
710,18613
711,18752
712,18931
713,18906
714,18964
715,19061
716,17994
717,19304
718,19311
719,19582
720,19771
721,20001
722,20132
723,20096
724,20233
725,20228
726,18230
727,19894
728,19941
729,19943
730,19811
731,19456
732,18883
733,18281
734,17651
735,17170
736,14941
737,16805
738,17156
739,17280
740,17564
741,17908
742,18134
743,17996
744,18122
745,18636
746,20512
747,23414
748,23569
749,23551
750,22989
751,22297
752,21507
753,21319
754,20573
755,20144
756,17886
757,19676
758,18695
759,18564
760,18440
761,19064
762,19636
763,20274
764,20665
765,20980
766,20249
767,21392
768,21516
769,21662
770,21726
771,21733
772,21935
773,21901
774,21996
775,21987
776,20933
777,22100
778,22194
779,22395
780,22408
781,22626
782,22713
783,22816
784,22993
785,22768
786,22293
787,23105
788,23246
789,23474
790,23779
791,24089
792,24413
793,24794
794,25143
795,25540
796,24339
797,25794
798,25658
799,25493
800,25132
801,24459
802,23514
803,22516
804,23510
805,24734
806,24073
807,26599
808,26686
809,26632
810,26299
811,25857
812,25089
813,24113
814,23390
815,22371
816,19168
817,20312
818,19446
819,18345
820,17068
821,15966
822,14681
823,14563
824,14567
825,14726
826,13881
827,15327
828,15500
829,15517
830,15528
831,15543
832,15289
833,15135
834,15045
835,14897
836,13692
837,14986
838,15154
839,15312
840,15396
841,15563
842,15846
843,15991
844,19676
845,16288
846,15144
847,16436
848,16559
849,16823
850,17482
851,17755
852,17956
853,18381
854,18550
855,18466
856,17648
857,18804
858,19038
859,18784
860,18613
861,18154
862,17753
863,17375
864,18704
865,20245
866,20886
867,25673
868,26205
869,26027
870,25535
871,24938
872,24155
873,22623
874,21222
875,20424
876,17368
877,18658
878,17636
879,16614
880,16563
881,16913
882,17017
883,17513
884,17950
885,18578
886,16632
887,19221
888,19513
889,19765
890,19992
891,20061
892,20079
893,20094
894,19893
895,19787
896,16709
897,19255
898,19323
899,19275
900,19245
901,19341
902,19400
903,19491
904,19719
905,19696
906,17100
907,19947
908,20049
909,20053
910,19799
911,19786
912,19462
913,19439
914,19046
915,18633
916,15535
917,18074
918,17731
919,17568
920,17806
921,17711
922,18192
923,18143
924,17999
925,17988
926,15713
927,17711
928,17505
929,17267
930,17728
931,20398
932,21383
933,21976
934,23655
935,24319
936,21662
937,23632
938,23464
939,22733
940,19676
941,21503
942,20996
943,20296
944,19782
945,19305
946,16484
947,18780
948,19157
949,19143
950,19599
951,20042
952,20307
953,20505
954,20821
955,20899
956,19945
957,21022
958,20977
959,20869
960,20962
961,20932
962,20948
963,21037
964,21165
965,21208
966,20508
967,21458
968,21591
969,21705
970,21740
971,22016
972,22371
973,22383
974,22484
975,22411
976,21386
977,22766
978,22803
979,22939
980,23069
981,23017
982,23039
983,22920
984,22773
985,22616
986,20902
987,22135
988,21970
989,21750
990,20811
991,19792
992,19273
993,19200
994,19509
995,20064
996,21610
997,25012
998,26094
999,26819
1000,27036
1001,27391
